"caseid","v212","v301","v302","v191","v133","v102","v104","v005","v000","v007","v001","v002","v025","v525","v717","v613","v012","SurveyId"
"    00011215  1",24,3,3,99208,14,1,10,287370,"CO7",2015,1,1215,1,17,2,2,49,"CO2015DHS"
"    00011215  3",21,3,3,99208,16,1,95,308022,"CO7",2015,1,1215,1,17,3,2,26,"CO2015DHS"
"    00011215  5",NA,3,3,99208,12,1,5,262393,"CO7",2015,1,1215,1,17,0,2,19,"CO2015DHS"
"    00011317  2",25,3,3,66085,16,1,95,332023,"CO7",2015,1,1317,1,25,1,2,44,"CO2015DHS"
"    00011418  1",25,3,3,51773,14,1,95,332023,"CO7",2015,1,1418,1,21,2,2,41,"CO2015DHS"
"    00011418  4",NA,3,3,51773,13,1,5,300182,"CO7",2015,1,1418,1,18,2,3,24,"CO2015DHS"
"    00011923  1",NA,3,3,47502,11,1,30,287370,"CO7",2015,1,1923,1,25,3,2,49,"CO2015DHS"
"    00012125  3",NA,3,3,53917,16,1,95,300182,"CO7",2015,1,2125,1,16,3,2,22,"CO2015DHS"
"    00012125  4",NA,3,0,53917,12,1,95,262393,"CO7",2015,1,2125,1,0,0,2,18,"CO2015DHS"
"    00012125  5",NA,3,0,53917,9,1,95,262393,"CO7",2015,1,2125,1,0,0,2,15,"CO2015DHS"
"    00012226  4",NA,3,3,58471,16,1,95,308022,"CO7",2015,1,2226,1,17,7,2,26,"CO2015DHS"
"    00012226  6",NA,3,3,58471,16,1,95,300182,"CO7",2015,1,2226,1,17,2,2,24,"CO2015DHS"
"    00019060  1",25,3,3,-24961,11,1,0,360556,"CO7",2015,1,9060,1,19,3,2,31,"CO2015DHS"
"    00019080  1",21,3,3,51739,11,1,95,308022,"CO7",2015,1,9080,1,16,7,2,27,"CO2015DHS"
"    00021616  2",NA,3,3,57167,14,1,2,591541,"CO7",2015,2,1616,1,18,3,2,29,"CO2015DHS"
"    00021718  2",23,3,3,47990,9,1,9,692432,"CO7",2015,2,1718,1,18,7,3,32,"CO2015DHS"
"    00021920  2",24,3,3,70213,8,1,37,557728,"CO7",2015,2,1920,1,96,3,3,38,"CO2015DHS"
"    00022021  2",26,3,3,75216,13,1,95,557728,"CO7",2015,2,2021,1,20,3,2,35,"CO2015DHS"
"    00022022  2",16,3,3,76468,0,1,36,551880,"CO7",2015,2,2022,1,14,3,4,47,"CO2015DHS"
"    00022022  3",18,3,3,76468,12,1,95,591541,"CO7",2015,2,2022,1,17,7,2,25,"CO2015DHS"
"    00022022  7",16,3,3,76468,12,1,95,503914,"CO7",2015,2,2022,1,15,3,1,19,"CO2015DHS"
"    00022022 10",22,3,3,76468,12,1,95,576485,"CO7",2015,2,2022,1,19,3,2,23,"CO2015DHS"
"    00022123  3",NA,3,0,94406,7,1,6,547152,"CO7",2015,2,2123,1,0,0,1,14,"CO2015DHS"
"    00022124  2",27,3,3,92264,14,1,8,692432,"CO7",2015,2,2124,1,17,7,4,31,"CO2015DHS"
"    00022124  4",NA,0,0,92264,2,1,4,503914,"CO7",2015,2,2124,1,0,7,2,16,"CO2015DHS"
"    00029050  2",17,3,3,47712,5,1,23,551880,"CO7",2015,2,9050,1,17,3,2,45,"CO2015DHS"
"    00031414  2",NA,3,3,97632,13,1,95,1437434,"CO7",2015,3,1414,1,18,3,1,26,"CO2015DHS"
"    00031414  4",NA,3,3,97632,16,1,95,1549442,"CO7",2015,3,1414,1,20,2,2,40,"CO2015DHS"
"    00031414  6",NA,3,0,97632,7,1,95,1329568,"CO7",2015,3,1414,1,0,0,2,13,"CO2015DHS"
"    00041212  4",NA,3,0,123849,10,1,6,801681,"CO7",2015,4,1212,1,0,0,2,16,"CO2015DHS"
"    00041920  2",19,3,3,85363,10,1,13,1014420,"CO7",2015,4,1920,1,17,7,3,40,"CO2015DHS"
"    00041920  3",NA,3,0,85363,8,1,12,801681,"CO7",2015,4,1920,1,0,0,2,15,"CO2015DHS"
"    00041923  2",21,3,3,25099,2,1,0,917135,"CO7",2015,4,1923,1,18,3,5,22,"CO2015DHS"
"    00041923  4",NA,3,0,25099,10,1,0,801681,"CO7",2015,4,1923,1,0,3,2,17,"CO2015DHS"
"    00049066  1",38,3,0,66186,14,1,95,1014420,"CO7",2015,4,9066,1,30,2,2,40,"CO2015DHS"
"    00051113  2",27,3,3,24118,8,1,27,535079,"CO7",2015,5,1113,1,96,8,4,41,"CO2015DHS"
"    00051113  3",NA,0,0,24118,1,1,95,459148,"CO7",2015,5,1113,1,0,3,1,13,"CO2015DHS"
"    00051214  2",NA,3,3,38712,14,1,95,496398,"CO7",2015,5,1214,1,18,1,2,26,"CO2015DHS"
"    00051214  5",20,3,3,38712,10,1,0,483764,"CO7",2015,5,1214,1,16,3,2,22,"CO2015DHS"
"    00051416  2",21,3,3,-41629,6,1,16,468023,"CO7",2015,5,1416,1,16,3,2,39,"CO2015DHS"
"    00051719  2",NA,3,0,53114,11,1,95,483764,"CO7",2015,5,1719,1,0,3,2,22,"CO2015DHS"
"    00051719  3",NA,3,0,53114,11,1,95,422865,"CO7",2015,5,1719,1,0,3,2,19,"CO2015DHS"
"    00051719  4",20,3,3,53114,10,1,95,483764,"CO7",2015,5,1719,1,15,7,2,24,"CO2015DHS"
"    00051820  2",32,3,0,30573,11,1,10,581062,"CO7",2015,5,1820,1,21,7,3,32,"CO2015DHS"
"    00051921  5",24,3,3,68788,13,1,9,496398,"CO7",2015,5,1921,1,19,7,2,26,"CO2015DHS"
"    00052224  5",17,3,0,33865,11,1,7,496398,"CO7",2015,5,2224,1,13,0,3,26,"CO2015DHS"
"    00059050  3",15,3,3,14466,6,1,0,422865,"CO7",2015,5,9050,1,14,0,2,15,"CO2015DHS"
"    00060911  3",18,3,3,112515,8,1,95,1671466,"CO7",2015,6,911,1,13,7,1,20,"CO2015DHS"
"    00061114  3",18,3,3,61994,4,1,0,1617081,"CO7",2015,6,1114,1,15,7,4,35,"CO2015DHS"
"    00061114  5",15,3,3,61994,9,1,7,1715120,"CO7",2015,6,1114,1,11,7,2,25,"CO2015DHS"
"    00061215  2",22,3,3,74593,15,1,13,1600127,"CO7",2015,6,1215,1,21,1,3,49,"CO2015DHS"
"    00061215  3",NA,3,3,74593,15,1,95,1671466,"CO7",2015,6,1215,1,18,2,2,24,"CO2015DHS"
"    00061518  3",NA,3,3,72743,12,1,95,1671466,"CO7",2015,6,1518,1,14,3,3,23,"CO2015DHS"
"    00071315  2",NA,3,3,74122,16,1,95,1113806,"CO7",2015,7,1315,1,18,7,2,36,"CO2015DHS"
"    00071416  3",NA,3,3,102295,16,1,95,1382816,"CO7",2015,7,1416,1,19,1,2,32,"CO2015DHS"
"    00071416  4",NA,3,3,102295,12,1,95,1181333,"CO7",2015,7,1416,1,20,2,2,28,"CO2015DHS"
"    00071517  4",22,3,3,110725,13,1,2,1113806,"CO7",2015,7,1517,1,17,2,2,37,"CO2015DHS"
"    00071720  3",NA,3,3,68535,14,1,0,1151265,"CO7",2015,7,1720,1,18,0,5,21,"CO2015DHS"
"    00071720  4",NA,3,3,68535,4,1,12,1006337,"CO7",2015,7,1720,1,15,0,3,16,"CO2015DHS"
"    00071923  2",NA,3,0,74087,16,1,10,1181333,"CO7",2015,7,1923,1,21,3,3,28,"CO2015DHS"
"    00071923  3",NA,3,0,74087,16,1,13,1181333,"CO7",2015,7,1923,1,0,1,4,27,"CO2015DHS"
"    00081113  1",23,3,3,43185,12,1,18,646199,"CO7",2015,8,1113,1,18,7,0,28,"CO2015DHS"
"    00081315  2",NA,3,3,107869,16,1,95,646199,"CO7",2015,8,1315,1,21,1,2,29,"CO2015DHS"
"    00081416  3",25,3,3,89141,16,1,95,696552,"CO7",2015,8,1416,1,18,1,3,41,"CO2015DHS"
"    00081416  5",NA,3,0,89141,8,1,95,550475,"CO7",2015,8,1416,1,0,0,1,16,"CO2015DHS"
"    00081517  2",17,3,3,90614,14,1,95,609261,"CO7",2015,8,1517,1,15,1,3,35,"CO2015DHS"
"    00081517  3",NA,3,3,90614,12,1,1,550475,"CO7",2015,8,1517,1,17,4,2,18,"CO2015DHS"
"    00081517  4",NA,3,0,90614,10,1,95,550475,"CO7",2015,8,1517,1,0,0,2,16,"CO2015DHS"
"    00081618  1",15,3,3,72855,11,1,95,696552,"CO7",2015,8,1618,1,14,2,2,43,"CO2015DHS"
"    00081618  3",21,3,3,72855,13,1,95,646199,"CO7",2015,8,1618,1,16,7,2,27,"CO2015DHS"
"    00081619  2",20,3,3,87636,13,1,95,609261,"CO7",2015,8,1619,1,17,2,6,35,"CO2015DHS"
"    00081619  3",NA,3,0,87636,7,1,95,597708,"CO7",2015,8,1619,1,0,0,2,14,"CO2015DHS"
"    00081721  2",19,3,3,85413,11,1,0,602874,"CO7",2015,8,1721,1,19,3,3,48,"CO2015DHS"
