"caseid","v212","v301","v302","v191","v133","v102","v104","v005","v000","v007","v001","v002","v025","v525","v717","v613","v012","SurveyId"
"      000100401 02",20,2,2,59934,6,1,10,260421,"PE6",2012,1,4,1,19,NA,2,42,"PE2012DHS"
"      000100401 03",NA,0,0,59934,14,1,11,260421,"PE6",2012,1,4,1,0,0,3,22,"PE2012DHS"
"      000100401 04",NA,0,0,59934,11,1,11,260421,"PE6",2012,1,4,1,0,0,2,18,"PE2012DHS"
"      000101201 03",NA,3,3,36386,12,1,10,260421,"PE6",2012,1,12,1,22,NA,2,26,"PE2012DHS"
"      000101201 04",NA,0,0,36386,12,1,10,260421,"PE6",2012,1,12,1,0,NA,0,19,"PE2012DHS"
"      000102001 02",16,3,3,-375,9,1,95,260421,"PE6",2012,1,20,1,15,NA,3,18,"PE2012DHS"
"      000102801 03",NA,0,0,101778,10,1,95,260421,"PE6",2012,1,28,1,0,0,2,16,"PE2012DHS"
"      000103701 02",18,3,3,5748,6,1,2,260421,"PE6",2012,1,37,1,17,NA,2,31,"PE2012DHS"
"      000104501 02",18,3,3,-64986,6,1,3,260421,"PE6",2012,1,45,1,16,NA,2,41,"PE2012DHS"
"      000106901 02",38,3,3,30028,11,1,6,260421,"PE6",2012,1,69,1,18,NA,3,41,"PE2012DHS"
"      000106901 04",NA,0,0,30028,11,1,1,260421,"PE6",2012,1,69,1,0,NA,2,18,"PE2012DHS"
"      000107701 01",18,3,3,50194,7,1,95,260421,"PE6",2012,1,77,1,16,NA,2,46,"PE2012DHS"
"      000107701 04",NA,3,3,50194,12,1,95,260421,"PE6",2012,1,77,1,18,0,1,22,"PE2012DHS"
"      000108501 02",16,3,3,27537,2,1,15,260421,"PE6",2012,1,85,1,15,NA,2,30,"PE2012DHS"
"      000109301 02",16,3,3,42688,6,1,10,260421,"PE6",2012,1,93,1,15,0,2,35,"PE2012DHS"
"      000109301 03",NA,3,3,42688,11,1,10,260421,"PE6",2012,1,93,1,18,NA,2,18,"PE2012DHS"
"      000110201 02",20,3,3,60500,11,1,15,260421,"PE6",2012,1,102,1,19,0,1,35,"PE2012DHS"
"      000111001 01",18,3,3,-66937,6,1,12,260421,"PE6",2012,1,110,1,16,NA,0,31,"PE2012DHS"
"      000111801 02",21,3,3,-6488,9,1,1,260421,"PE6",2012,1,118,1,18,NA,2,28,"PE2012DHS"
"      000112601 02",NA,3,3,111941,11,1,1,260421,"PE6",2012,1,126,1,16,0,2,17,"PE2012DHS"
"      000201501 02",18,3,3,-29346,11,1,95,188272,"PE6",2012,2,15,1,16,NA,2,32,"PE2012DHS"
"      000202301 02",20,3,3,84958,11,1,0,188272,"PE6",2012,2,23,1,19,0,3,28,"PE2012DHS"
"      000203001 02",21,3,3,30167,14,1,8,188272,"PE6",2012,2,30,1,20,NA,1,28,"PE2012DHS"
"      000204601 01",NA,3,3,-25437,16,1,7,188272,"PE6",2012,2,46,1,19,NA,2,25,"PE2012DHS"
"      000204601 02",19,3,3,-25437,15,1,0,188272,"PE6",2012,2,46,1,18,0,2,33,"PE2012DHS"
"      000205401 02",38,0,0,161418,14,1,95,188272,"PE6",2012,2,54,1,22,NA,3,41,"PE2012DHS"
"      000207701 01",18,3,3,-19171,5,1,8,188272,"PE6",2012,2,77,1,17,NA,3,48,"PE2012DHS"
"      000208501 02",22,2,2,131016,14,1,28,188272,"PE6",2012,2,85,1,21,NA,2,46,"PE2012DHS"
"      000209201 04",24,3,3,145317,16,1,5,188272,"PE6",2012,2,92,1,19,NA,1,34,"PE2012DHS"
"      000210801 02",30,3,3,92876,11,1,30,188272,"PE6",2012,2,108,1,18,NA,2,45,"PE2012DHS"
"      000211601 01",23,3,3,32563,12,1,7,188272,"PE6",2012,2,116,1,22,NA,3,37,"PE2012DHS"
"      000212301 02",25,3,3,95094,9,1,13,188272,"PE6",2012,2,123,1,17,0,2,34,"PE2012DHS"
"      000300901 02",27,3,3,38911,6,1,14,270085,"PE6",2012,3,9,1,96,0,3,41,"PE2012DHS"
"      000302001 02",17,3,3,23113,11,1,95,270085,"PE6",2012,3,20,1,16,0,3,27,"PE2012DHS"
"      000303101 02",23,3,3,2915,4,1,13,270085,"PE6",2012,3,31,1,20,NA,0,37,"PE2012DHS"
"      000304301 02",NA,3,3,-34128,11,1,95,270085,"PE6",2012,3,43,1,17,NA,2,20,"PE2012DHS"
"      000305401 02",16,3,3,-30826,11,1,7,270085,"PE6",2012,3,54,1,15,NA,2,21,"PE2012DHS"
"      000306501 05",16,3,3,-2246,8,1,95,270085,"PE6",2012,3,65,1,15,0,1,22,"PE2012DHS"
"      000307601 02",20,3,3,-52971,6,1,6,270085,"PE6",2012,3,76,1,19,0,4,32,"PE2012DHS"
"      000308701 01",18,3,3,87239,13,1,95,270085,"PE6",2012,3,87,1,17,NA,2,21,"PE2012DHS"
"      000309901 03",NA,0,0,6468,10,1,11,270085,"PE6",2012,3,99,1,0,0,2,16,"PE2012DHS"
"      000311001 02",19,3,3,-65860,10,1,4,270085,"PE6",2012,3,110,1,18,0,2,24,"PE2012DHS"
"      000313201 02",NA,3,3,40472,11,1,0,270085,"PE6",2012,3,132,1,17,0,2,17,"PE2012DHS"
"      000314301 02",17,3,3,-4175,1,1,15,270085,"PE6",2012,3,143,1,14,NA,6,42,"PE2012DHS"
"      000315401 02",20,2,2,15498,7,1,24,270085,"PE6",2012,3,154,1,12,NA,4,35,"PE2012DHS"
"      000315401 05",20,3,3,15498,6,1,95,270085,"PE6",2012,3,154,1,18,NA,2,33,"PE2012DHS"
